5580022;RUSSIAN FEDERATION;FK3363509419;360;360;3;4,596691566;20.05.1998;09.09.2012;27.11.2027;;;;;;;USD;
5580073;RUSSIAN FEDERATION;FK805430672,;360;360;3;4,683622423;24.12.2007;09.09.2012;12.10.2025;;;;;;;USD;
5580434;RUSSIAN FEDERATION;FK8230751388;360;360;3;4,510560603;18.08.1995;09.09.2012;12.11.2013;;;;;;;USD;
5580476;RUSSIAN FEDERATION;FK7138628050;360;360;3;4,164188147;30.12.1987;09.09.2012;23.02.2018;;;;;;;USD;
5580588;RUSSIAN FEDERATION;FK3765880367;360;360;3;2,567715389;21.09.2007;09.09.2012;15.08.2024;;;;;;;USD;
5580773;RUSSIAN FEDERATION;FK3774223515;360;360;3;4,212800391;15.09.1994;09.09.2012;02.09.2034;;;;;;;USD;
5580782;RUSSIAN FEDERATION;FK9722889818;360;360;3;4,263133108;31.01.2002;09.09.2012;13.01.2025;;;;;;;USD;
5581125;RUSSIAN FEDERATION;FK5340239436;360;360;3;2,401126718;10.10.2006;09.09.2012;30.11.2037;;;;;;;USD;
5581454;RUSSIAN FEDERATION;FK9676221746;360;360;3;2,046147177;27.01.1991;09.09.2012;21.02.2025;;;;;;;USD;
5581480;RUSSIAN FEDERATION;FK4616523188;360;360;3;4,76523837;08.11.1998;09.09.2012;16.05.2036;;;;;;;USD;
5581655;RUSSIAN FEDERATION;FK36464300,4;360;360;3;3,841214285;08.05.1992;09.09.2012;22.01.2023;;;;;;;USD;
5581808;RUSSIAN FEDERATION;FK1598091195;360;360;3;4,246112949;22.11.1999;09.09.2012;10.12.2013;;;;;;;USD;
5581908;RUSSIAN FEDERATION;FK3050166998;360;360;3;2,073526765;18.11.1988;09.09.2012;09.11.2031;;;;;;;USD;
5582329;RUSSIAN FEDERATION;FK848975109,;360;360;3;2,523194884;23.01.2009;09.09.2012;06.12.2036;;;;;;;USD;
5582390;RUSSIAN FEDERATION;FK3074871545;360;360;3;3,527913842;17.11.2001;09.09.2012;29.09.2032;;;;;;;USD;
5582504;RUSSIAN FEDERATION;FK2357539329;360;360;3;2,83650836;28.09.2004;09.09.2012;10.12.2038;;;;;;;USD;
5582575;RUSSIAN FEDERATION;FK4263598481;360;360;3;3,375106716;11.04.1987;09.09.2012;15.04.2024;;;;;;;USD;
5582722;RUSSIAN FEDERATION;FK3894088903;360;360;3;2,082721159;19.02.1999;09.09.2012;15.08.2023;;;;;;;USD;
5582762;RUSSIAN FEDERATION;FK7389584066;360;360;3;2,418834644;28.02.2011;09.09.2012;22.03.2016;;;;;;;USD;
5582763;RUSSIAN FEDERATION;FK4877364916;360;360;3;3,825000335;05.10.1989;09.09.2012;09.01.2016;;;;;;;USD;
5582820;RUSSIAN FEDERATION;FK6292148972;360;360;3;4,829904042;14.10.2001;09.09.2012;18.01.2031;;;;;;;USD;
5583116;RUSSIAN FEDERATION;FK3985581678;360;360;3;2,838397196;18.09.2008;09.09.2012;26.01.2017;;;;;;;USD;
5583375;RUSSIAN FEDERATION;FK2331603719;360;360;3;2,918175697;22.03.2006;09.09.2012;15.09.2015;;;;;;;USD;
5583510;RUSSIAN FEDERATION;FK7323566485;360;360;3;2,953411552;02.07.2006;09.09.2012;21.10.2024;;;;;;;USD;
5583720;RUSSIAN FEDERATION;FK5623888468;360;360;3;3,966896041;16.08.1996;09.09.2012;30.10.2036;;;;;;;USD;
5583810;RUSSIAN FEDERATION;FK2390893186;360;360;3;4,682876122;28.08.2004;09.09.2012;28.09.2027;;;;;;;USD;
5583849;RUSSIAN FEDERATION;FK9647844149;360;360;3;2,659876114;20.06.1994;09.09.2012;10.11.2018;;;;;;;USD;
5583886;RUSSIAN FEDERATION;FK5730616263;360;360;3;2,716615643;29.04.1991;09.09.2012;19.01.2029;;;;;;;USD;
5583982;RUSSIAN FEDERATION;FK3717055457;360;360;3;3,261183365;15.05.1992;09.09.2012;20.10.2032;;;;;;;USD;
5584059;RUSSIAN FEDERATION;FK3735822159;360;360;3;3,060149516;28.01.1999;09.09.2012;05.12.2037;;;;;;;USD;
5584118;RUSSIAN FEDERATION;FK427224900,;360;360;3;4,013228517;30.07.2009;09.09.2012;15.08.2039;;;;;;;USD;
5584341;RUSSIAN FEDERATION;FK3195033258;360;360;3;2,173731603;27.09.1987;09.09.2012;17.01.2023;;;;;;;USD;
5584358;RUSSIAN FEDERATION;FK4411653081;360;360;3;2,65650972;28.11.2007;09.09.2012;04.09.2036;;;;;;;USD;
5585360;RUSSIAN FEDERATION;FK6044880763;360;360;3;2,970646383;20.07.1985;09.09.2012;14.03.2014;;;;;;;USD;
5585450;RUSSIAN FEDERATION;FK8444678244;360;360;3;3,777101782;12.07.1985;09.09.2012;19.04.2013;;;;;;;USD;
5585523;RUSSIAN FEDERATION;FK9996949346;360;360;3;3,174936732;25.01.2010;09.09.2012;25.09.2025;;;;;;;USD;
5585811;RUSSIAN FEDERATION;FK5264746096;360;360;3;2,905982086;18.04.1994;09.09.2012;10.03.2025;;;;;;;USD;
